Model,Scenario,Region,Variable,Unit,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Geothermal,GW,5.4919,10.0248,12.512,12.5721,12.5721,12.5721,12.5721,12.5721,12.5721,12.5721,,12.5721,,12.5721,,10.4389,,12.0033
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Liquids|Oil,GW,837.9987,789.2139,772.2703,728.4666,653.0471,558.8054,466.8442,400.4923,360.7514,329.9755,,267.3278,,189.1678,,137.1596,,76.6176
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Coal,GW,275.0756,221.7663,181.3522,142.5971,73.8182,48.2453,12.303,3.5419,0.0983,0.0773,,0.0452,,0.0007,,0.0006,,0.0002
REMIND 3.0,GP_CurPol_T45,North America; primarily the United States of America and Canada,Capacity|Electricity|Other,GW,0,4.1558,10.5614,26.2923,64.5951,106.4444,137.8249,152.941,155.0453,152.0977,,156.572,,169.9689,,186.4791,,200.2782
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Liquids|Biomass,GW,12.3089,39.9496,61.6215,61.5337,63.0573,69.0822,75.8952,84.6376,96.47,105.8586,,124.7009,,142.1103,,160.6571,,171.9294
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Wind,GW,135.1169,209.0328,295.4138,388.7197,482.5646,577.3257,669.6462,739.3521,780.9375,815.2231,,857.4977,,883.1355,,923.6762,,1005.1369
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Nuclear,GW,145.5167,135.6079,121.4307,105.059,86.8783,66.5485,46.9983,29.6475,15.3816,5.2979,,0.0009,,0,,0,,0
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Biomass,GW,25.7972,28.7473,32.2827,33.986,31.8488,27.5556,21.6879,15.714,11.0824,7.6057,,2.0252,,0.0003,,0.0003,,0.0003
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Liquids|Coal,GW,0.0049,0.0048,0.0047,0.0043,0.0037,0.0026,0.0069,0.0119,0.0118,0.0119,,0.0119,,0.0119,,0.011,,0.0119
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Solar,GW,92.436,159.8648,301.3883,514.9294,679.6054,788.3757,831.0214,810.7588,778.9406,733.9612,,744.534,,841.6184,,876.3921,,1020.8923
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Oil,GW,43.127,29.5015,17.3888,5.669,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Hydro,GW,149.5925,158.2061,160.9855,160.6574,158.4324,154.7606,149.8523,144.16,138.2183,132.2334,,120.44,,112.0285,,112.0285,,119.3396
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Gas,GW,183.2888,62.4389,59.5375,54.6954,43.2276,30.4311,21.3068,14.2328,5.2529,1.9377,,0.0004,,0.0005,,0.0004,,0.0001
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Geothermal,GW,1.715,3.3223,4.4153,4.4394,4.4394,4.4394,4.4394,4.4394,4.1921,4.4394,,4.4394,,4.4394,,4.3438,,4.4394
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Liquids|Oil,GW,682.0624,690.9434,651.9746,577.8599,500.6753,429.3702,381.6415,348.8696,318.7968,290.4786,,263.6941,,242.7082,,205.9632,,167.1197
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Coal,GW,150.8859,125.7021,84.7698,66.9701,49.4264,32.5498,15.0629,4.2746,0.0006,0.0006,,0.0006,,0.0007,,0.0006,,0.0003
REMIND 3.0,GP_CurPol_T45,"Eastern and Western Europe (i.e., the EU28)",Capacity|Electricity|Other,GW,0,7.7689,24.0573,52.63,84.5674,102.5837,113.483,113.561,109.1894,104.221,,103.2839,,113.185,,117.8457,,133.9784
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Liquids|Biomass,GW,0,0,0.0002,0.0004,0.328,1.6619,4.25,7.6388,11.2756,15.0829,,21.9002,,26.9564,,29.2081,,31.848
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Wind,GW,2.6676,4.4163,9.9671,21.107,37.5592,58.325,82.1777,103.5277,119.5104,131.1869,,148.7986,,159.2213,,160.1479,,151.436
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Nuclear,GW,41.5943,38.762,34.8213,30.453,25.6704,20.2561,14.9624,10.1525,6.0992,3.1803,,1.5098,,1.1693,,0.5965,,0.1472
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Biomass,GW,6.2161,11.2733,19.5645,26.6716,28.3792,27.3201,25.6156,23.2524,20.0037,15.5921,,4.988,,0.0003,,0.0003,,0.0002
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Liquids|Coal,GW,0,0,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,,0.0003,,0.0003,,0.0002,,0.0001
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Solar,GW,27.1842,63.65,98.3098,120.7806,129.9447,125.4957,116.8305,107.3206,106.346,118.6495,,137.3815,,138.0194,,120.602,,132.0555
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Oil,GW,49.4534,33.166,19.0848,6.0156,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Hydro,GW,45.0315,53.8499,57.8942,59.1167,58.6894,57.3857,55.69,53.8557,51.9898,50.1071,,46.2748,,42.6358,,40.0968,,40.1478
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Gas,GW,74.1195,44.1624,34.1615,30.1544,23.016,14.2064,7.2799,2.9351,0.1822,0.1309,,0.008,,0.0004,,0.0004,,0.0001
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Geothermal,GW,0.802,1.2757,1.6864,1.7534,1.7534,1.7534,1.7534,1.7534,1.7238,1.7534,,1.7534,,1.7534,,1.6001,,1.7534
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Liquids|Oil,GW,192.8547,188.8824,184.6738,169.2911,149.983,128.4168,109.9966,95.3295,84.6007,74.3429,,55.4071,,46.5173,,38.4911,,28.7365
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Coal,GW,42.8187,41.9517,40.5747,40.9057,39.5094,35.4941,30.4532,25.057,17.1832,11.8755,,6.4569,,1.4092,,0.174,,0.0003
REMIND 3.0,GP_CurPol_T45,Pacific OECD,Capacity|Electricity|Other,GW,0,0.9402,3.1945,8.9522,13.4287,13.2896,12.9867,11.9124,10.8117,10.6526,,10.7085,,10.5935,,9.7548,,10.2939
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Liquids|Biomass,GW,0,0,0.0002,0.005,0.0161,0.0425,0.0634,0.0639,0.0623,0.0593,,0.0496,,1.8147,,7.3779,,20.3317
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Wind,GW,0.6194,2.9241,5.7356,7.3345,7.6333,6.8783,5.9747,7.2229,15.5017,35.0604,,118.8723,,239.7705,,351.6287,,416.1213
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Nuclear,GW,39.54,41.1245,40.6708,37.9357,34.0329,29.2646,24.4175,19.7833,15.4643,11.5954,,5.2125,,1.0911,,0.0684,,0
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Biomass,GW,1.4827,3.2657,6.6193,12.2461,17.9218,20.5436,21.1777,21.6913,22.4688,23.3501,,25.094,,25.0928,,23.3503,,19.0885
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Liquids|Coal,GW,0.5308,0.8527,1.804,4.536,10.2666,19.4819,30.9199,41.2592,46.6501,46.6207,,20.2075,,0.8797,,0.0002,,0
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Solar,GW,1.1193,10.4622,26.4416,49.7313,83.9888,121.5788,162.4805,209.252,258.7408,316.6997,,447.6188,,617.1287,,733.9035,,833.029
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Oil,GW,1.1502,0.806,0.4884,0.1652,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Hydro,GW,80.3419,79.8845,79.0531,78.1552,77.289,76.5477,76.0565,75.8703,75.8703,75.9046,,75.8703,,75.8703,,76.9205,,75.8703
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Gas,GW,109.3949,111.4727,133.158,186.5876,254.3083,308.8661,346.1058,373.2569,385.2548,379.1064,,317.8277,,222.1851,,131.8083,,62.3631
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Geothermal,GW,0.074,0.0809,0.1849,0.2973,0.2984,0.2909,0.2984,0.2877,0.237,0.1821,,0.2395,,0.2984,,0.2984,,0.2935
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Liquids|Oil,GW,233.7377,239.1875,253.1868,281.1027,286.7941,260.2603,159.7535,59.9262,23.8927,1.9097,,0.8277,,0.036,,0.0001,,0
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Coal,GW,97.4168,77.8446,71.9363,65.8571,58.6998,50.0001,36.8923,24.8275,11.1968,0.0771,,0.0008,,0.0006,,0.0006,,0.0003
REMIND 3.0,GP_CurPol_T45,Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia,Capacity|Electricity|Other,GW,0,0,0.3368,1.9023,5.2015,9.7047,12.568,13.4247,14.6984,17.3939,,26.8452,,42.8017,,58.2295,,69.5649
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Liquids|Biomass,GW,1.1926,1.1175,2.9095,12.1531,31.7297,56.1431,78.0406,96.843,114.5899,130.7747,,156.502,,191.4524,,260.4652,,332.419
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Wind,GW,125.1662,268.7046,364.5393,458.1855,589.4795,697.3603,767.7775,870.4755,977.7219,1039.9705,,1132.6162,,1134.4224,,1106.73,,1063.5826
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Nuclear,GW,31.78,62.7842,86.8613,111.0645,133.2273,150.3348,161.3664,166.4358,165.7117,159.6449,,130.0556,,80.9623,,41.8033,,16.4111
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Biomass,GW,9.549,15.212,15.0944,14.8195,14.2678,13.2835,11.6985,9.4345,6.4958,2.8754,,0.0003,,0.0003,,0.0003,,0.0002
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Liquids|Coal,GW,0,0,1.6454,9.0476,28.3383,67.7516,135.0364,230.2691,338.4707,435.8322,,515.7296,,450.0311,,311.7696,,164.0721
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Solar,GW,42.2114,246.7306,569.1357,977.6242,1450.2256,1811.8627,2013.5408,2093.7204,2109.1406,2107.3555,,2021.5737,,2057.4872,,1979.6251,,1894.4591
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Oil,GW,24.8598,19.5572,13.3121,5.1337,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,,0.0001,,0.0001,,0.0001,,0.0001
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Hydro,GW,291.7989,418.0944,474.4091,506.0599,523.4791,531.478,533.6749,532.5801,529.5969,525.5817,,515.818,,505.2016,,497.9447,,481.1883
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Gas,GW,60.2307,85.0428,106.4104,146.0917,186.1287,192.9381,171.612,141.4458,117.2851,85.7496,,26.9813,,0.9172,,0.0004,,0.0001
REMIND 3.0,GP_CurPol_T45,Countries of centrally-planned Asia; primarily China,Capacity|Electricity|Geothermal,GW,0.0234,0.0239,0.0652,0.1119,0.1119,0.1115,0.1119,0.1037,0.1119,0.1119,,0.1119,,0.1119,,0.1068,,0.1119
